Time (sec),AC Compressor Sw (on/off),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (C),Dyn Adv Mult (DAM),EGR Commanded (steps),Feedback Knock (°),Fine Knock Learn (°),Fuel Cut (cylinders),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (gear),Ign Comp IAT (°),Ignition Timing (°),Inj Duty Cycle (%),Inj PW (ms),Inj Timing H SOI NEW (°),Intake Temp (C),Intake Temp Manifold (C),MAF Corr (g/s),MAF Freq (kHz),Man Abs Press (psi),Oil Temp (C),RPM (RPM),Req Torque (Nm),Req Torque Bst Targets (Nm),TD Boost Error (psi),TD Integ WG Pos Corr (mm),TD Prop WG Pos Corr (mm),TGV Map Ratio (mult),Target Boost Final Rel (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Init Pos Final (mm),Wastegate Pos Actual (mm),Wastegate Pos Comm (mm),Wastegate Pos Comm Final (mm),"AP Info:[AP3-SUB-006 v1.7.5.0-25910][2023 USDM WRX MT][Reflash: Stage1 93 v310.ptm]"
0.000,off,-7.03,-0.78,-1.56,0.00,14.55,1,-16,2.0,14.36,14.30,-10.67,14.63,0.23,14.59,94,1.000,3,0.00,0.00,0,509,584,2,-1.0,20.50,0.86,0.941,320.0,32,48,4.54,3.038,3.68,95,1098,19.05,23.49,2.33,0.000,0.000,0.000,-8.34,6.8,10,10.000,11.016,10.000,11.000,0
0.021,off,-7.03,-0.78,-1.56,0.00,14.55,1,-16,0.3,14.36,14.22,-10.60,14.63,0.25,14.70,94,1.000,3,0.00,0.00,0,510,584,2,-1.0,19.50,0.85,0.941,320.0,32,48,4.61,3.069,3.76,95,1089,12.21,19.93,2.06,0.000,0.000,0.000,-8.54,5.8,10,10.000,11.022,10.000,11.000,0
0.038,off,-7.03,-0.78,-1.56,0.00,14.55,2,-15,0.0,14.36,14.30,-10.51,14.63,0.25,14.70,94,1.000,3,0.00,0.00,0,504,584,2,-1.0,19.50,0.85,0.941,320.0,32,48,4.65,2.982,3.85,95,1090,5.28,12.98,1.57,0.000,0.000,0.000,-8.94,4.8,10,10.000,11.022,10.000,11.000,0
0.063,off,-7.03,-0.78,-1.56,0.00,14.54,2,-15,0.0,14.36,14.30,-10.48,14.63,0.25,14.70,94,1.000,0,0.00,0.00,0,519,358,2,-1.0,18.50,0.86,0.941,320.0,32,48,4.62,2.449,3.88,95,1094,0.00,6.08,1.17,0.000,0.000,0.000,-9.33,4.4,10,15.000,11.071,12.000,13.000,0
0.095,off,-6.25,-0.78,-1.56,0.00,14.54,3,-15,0.0,14.36,14.38,-10.48,14.63,0.25,14.70,94,1.000,0,0.00,0.00,0,504,358,2,-1.0,18.50,0.86,0.947,300.0,32,48,4.56,2.470,3.88,95,1095,0.00,4.24,1.04,0.000,0.000,0.000,-9.44,4.4,10,15.000,11.558,13.999,14.999,0
0.102,off,-6.25,-0.78,-1.56,0.00,14.55,3,-15,0.0,14.36,14.30,-10.54,14.63,0.23,14.70,94,1.000,0,0.00,0.00,0,508,358,2,-1.0,17.50,0.87,0.947,300.0,32,48,4.50,2.599,3.82,95,1099,0.00,4.85,1.13,0.000,0.000,0.000,-9.40,4.4,10,15.000,13.046,15.000,15.000,0
0.156,off,-6.25,-0.78,-1.56,0.00,14.55,3,-14,0.0,14.36,14.22,-10.62,14.63,0.23,14.59,94,1.000,0,0.00,0.00,0,493,358,2,-1.0,16.50,0.87,0.947,300.0,32,48,4.45,2.450,3.74,95,1101,0.00,4.85,1.21,0.000,0.000,0.000,-9.41,4.4,10,15.000,14.347,15.000,15.000,0
0.161,off,-6.25,-0.78,-1.56,0.00,14.55,3,-14,0.0,14.36,14.30,-10.69,14.63,0.23,14.59,94,1.000,0,0.00,0.00,0,481,358,2,-1.0,16.00,0.87,0.947,300.0,32,48,4.39,2.655,3.67,95,1101,0.00,4.24,1.18,0.000,0.000,0.000,-9.44,4.4,10,15.000,14.770,15.000,15.000,0
0.224,off,-6.25,-0.78,-1.56,0.00,14.54,4,-14,0.0,14.36,14.14,-10.69,14.63,0.23,14.59,94,1.000,0,0.00,0.00,0,482,358,2,-1.0,16.00,0.87,0.947,300.0,32,48,4.35,2.609,3.67,95,1103,0.00,4.24,1.25,0.000,0.000,0.000,-9.44,4.4,10,15.000,14.874,15.000,15.000,0
0.239,off,-6.25,-0.78,-1.56,0.00,14.52,4,-14,0.0,14.36,14.30,-10.77,14.63,0.23,14.59,94,1.000,0,0.00,0.00,0,467,358,2,-1.0,16.00,0.87,0.947,300.0,32,48,4.29,2.615,3.59,95,1100,0.00,4.70,1.35,0.000,0.000,0.000,-9.41,4.4,10,15.000,14.904,15.000,15.000,0
0.272,off,-6.25,-0.78,-1.56,0.00,14.56,2,-13,0.0,14.36,14.22,-10.82,14.63,0.22,14.70,94,1.000,0,0.00,0.00,0,457,358,2,-1.0,16.50,0.85,0.931,300.0,32,48,4.23,2.617,3.54,95,1098,0.00,4.70,1.35,0.000,0.000,0.000,-9.41,4.4,10,15.000,14.984,15.000,15.000,0
0.323,off,-6.25,-0.78,-1.56,0.00,14.53,2,-13,0.0,14.36,14.38,-10.87,14.63,0.22,14.64,94,1.000,0,0.00,0.00,0,452,358,2,-1.0,16.50,0.85,0.931,300.0,32,48,4.17,2.622,3.49,95,1091,0.00,4.85,1.42,0.000,0.000,0.000,-9.40,4.4,10,15.000,15.014,15.000,15.000,0
0.330,off,-6.25,-0.78,-1.56,0.00,14.55,1,-12,0.0,14.36,14.30,-10.87,14.63,0.22,14.64,94,1.000,0,0.00,0.00,0,446,358,2,-1.0,16.50,0.84,0.931,300.0,32,48,4.10,2.559,3.49,95,1082,0.00,4.85,1.46,0.000,0.000,0.000,-9.40,4.4,10,15.000,15.020,15.000,15.000,0
0.372,off,-6.25,-0.78,-1.56,0.00,14.55,0,-10,0.0,14.36,14.30,-10.99,14.63,0.22,14.64,94,1.000,0,0.00,0.00,0,425,358,2,-1.0,16.00,0.84,0.931,300.0,32,48,4.01,2.614,3.37,95,1080,0.00,4.85,1.59,0.000,0.000,0.000,-9.40,4.4,10,15.000,15.026,15.000,15.000,0
0.391,off,-6.25,-0.78,-1.56,0.00,14.55,0,-10,0.0,14.36,14.22,-10.99,14.63,0.22,14.64,94,1.000,0,0.00,0.00,0,413,358,2,-1.0,16.00,0.83,0.918,300.0,32,48,3.99,2.624,3.37,95,1081,0.00,4.85,1.59,0.000,0.000,0.000,-9.40,4.4,10,15.000,15.032,15.000,15.000,0
0.433,off,-6.25,-0.78,-1.56,0.00,14.50,0,-6,0.0,14.36,14.38,-11.02,14.63,0.22,14.64,94,1.000,0,0.00,0.00,0,409,358,2,-1.0,15.50,0.83,0.918,300.0,32,48,3.95,2.619,3.33,95,1084,0.00,4.55,1.60,0.000,0.000,0.000,-9.42,4.4,10,15.000,15.032,15.000,15.000,0
0.460,off,-6.25,-0.78,-1.56,0.00,14.52,0,-4,0.0,14.36,14.30,-11.10,14.63,0.20,14.64,94,1.000,0,0.00,0.00,0,396,358,2,-1.0,14.50,0.83,0.918,300.0,32,48,3.91,2.552,3.26,95,1089,0.00,4.55,1.68,0.000,0.000,0.000,-9.42,4.4,10,15.000,15.026,15.000,15.000,0
0.473,off,-6.25,-0.78,-1.56,0.00,14.51,-1,-1,0.0,14.36,14.30,-11.15,14.63,0.20,14.53,94,1.000,0,0.00,0.00,0,382,358,2,-1.0,15.00,0.83,0.918,300.0,32,48,3.87,2.546,3.21,95,1089,0.00,4.55,1.72,0.000,0.000,0.000,-9.42,4.4,10,15.000,15.026,15.000,15.000,0
0.519,off,-6.25,-0.78,-1.56,0.00,14.51,-1,-1,0.0,14.36,14.30,-11.18,14.63,0.20,14.53,94,1.000,0,0.00,0.00,0,377,358,2,-1.0,14.50,0.85,0.934,300.0,32,48,3.84,2.588,3.18,95,1090,0.00,4.55,1.72,0.000,0.000,0.000,-9.42,4.4,10,15.000,15.026,15.000,15.000,0
0.566,off,-6.25,-0.78,-1.56,0.00,14.52,-1,0,0.0,14.36,14.30,-11.18,14.63,0.20,14.53,94,1.000,0,0.00,0.00,0,367,358,2,-1.0,14.50,0.85,0.934,300.0,32,48,3.81,2.619,3.18,95,1091,0.00,4.55,1.75,0.000,0.000,0.000,-9.42,4.4,10,15.000,15.026,15.000,15.000,0
0.579,off,-6.25,-0.78,-1.56,0.00,14.50,-1,0,0.0,14.36,14.38,-11.20,14.63,0.20,14.53,94,1.000,0,0.00,0.00,0,365,358,2,-1.0,14.00,0.85,0.934,300.0,32,48,3.79,2.561,3.16,95,1093,0.00,4.55,1.78,0.000,0.000,0.000,-9.42,4.4,10,15.000,15.032,15.000,15.000,0
0.595,off,-6.25,-0.78,-1.56,0.00,14.49,-1,2,0.0,14.36,14.30,-11.24,14.63,0.20,14.53,94,1.000,0,0.00,0.00,0,352,358,2,-1.0,14.00,0.85,0.934,300.0,32,48,3.78,2.520,3.12,95,1095,0.00,4.55,1.81,0.000,0.000,0.000,-9.42,4.4,10,15.000,15.026,15.000,15.000,0
0.601,off,-6.25,-0.78,-1.56,0.00,14.49,-1,2,0.0,14.36,14.30,-11.28,14.63,0.20,14.53,94,1.000,0,0.00,0.00,0,350,358,2,-1.0,14.00,0.85,0.934,300.0,32,48,3.75,2.568,3.08,95,1095,0.00,4.24,1.79,0.000,0.000,0.000,-9.44,4.4,10,15.000,15.026,15.000,15.000,0
0.655,off,-6.25,-0.78,-1.56,0.00,14.45,-1,2,0.0,14.36,14.38,-11.28,14.63,0.20,14.53,94,1.000,0,0.00,0.00,0,346,358,2,-1.0,14.00,0.87,0.957,300.0,32,48,3.73,2.589,3.08,95,1093,0.00,4.24,1.83,0.000,0.000,0.000,-9.44,4.4,10,15.000,15.026,15.000,15.000,0
0.668,off,-6.25,-0.78,-1.56,0.00,14.45,-1,2,0.0,14.36,14.30,-11.29,14.63,0.20,14.53,94,1.000,0,0.00,0.00,0,341,358,2,-1.0,14.00,0.87,0.957,300.0,32,48,3.70,2.543,3.07,95,1094,0.00,4.24,1.85,0.000,0.000,0.000,-9.44,4.4,10,15.000,15.026,15.000,15.000,0
0.685,off,-7.03,-0.78,-1.56,0.00,14.36,-1,2,0.0,14.36,14.30,-11.36,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,331,358,2,-1.0,13.50,0.87,0.957,300.0,32,48,3.61,2.541,3.00,95,1087,0.00,4.55,1.94,0.000,0.000,0.000,-9.42,4.4,10,15.000,15.026,15.000,15.000,0
0.697,off,-7.03,-0.78,-1.56,0.00,14.36,-1,2,0.0,14.36,14.38,-11.37,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,328,358,2,-1.0,13.00,0.84,0.931,300.0,32,48,3.60,2.587,2.99,95,1085,0.00,4.55,1.94,0.000,0.000,0.000,-9.42,4.4,10,15.000,15.026,15.000,15.000,0
0.703,off,-7.03,-0.78,-1.56,0.00,14.32,-1,2,0.0,14.36,14.30,-11.37,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,325,358,2,-1.0,13.00,0.84,0.931,300.0,32,48,3.58,2.623,2.99,95,1083,0.00,4.24,1.93,0.000,0.000,0.000,-9.44,4.4,10,15.000,15.032,15.000,15.000,0
0.738,off,-7.03,-0.78,-1.56,0.00,14.26,-1,2,0.0,14.36,14.30,-11.38,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,320,358,2,-0.5,13.50,0.83,0.931,300.0,32,48,3.53,2.515,2.98,95,1074,0.00,4.24,1.94,0.000,0.000,0.000,-9.44,4.4,10,15.000,15.032,15.000,15.000,0
0.765,off,-7.81,-0.78,-1.56,0.00,14.24,-1,1,0.0,14.36,14.30,-11.40,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,324,358,2,-0.5,13.50,0.83,0.931,300.0,32,48,3.52,2.529,2.96,95,1071,0.00,4.55,1.98,0.000,0.000,0.000,-9.42,4.5,10,15.000,15.032,15.000,15.000,0
0.781,off,-7.81,-0.78,-1.56,0.00,14.24,-1,1,0.0,14.36,14.30,-11.40,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,320,358,2,-0.5,13.50,0.82,0.922,300.0,32,48,3.51,2.580,2.96,95,1069,0.00,4.55,1.98,0.000,0.000,0.000,-9.42,4.5,10,15.000,15.032,15.000,15.000,0
0.799,off,-7.81,-0.78,-1.56,0.00,14.22,-1,1,0.0,14.36,14.38,-11.42,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,314,358,2,-0.5,13.50,0.82,0.922,300.0,32,48,3.48,2.644,2.94,95,1065,0.00,4.55,2.00,0.000,0.000,0.000,-9.42,4.5,10,15.000,15.026,15.000,15.000,0
0.826,off,-7.81,-0.78,-1.56,0.00,14.20,-1,1,0.0,14.36,14.38,-11.40,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,317,358,2,-0.5,14.00,0.82,0.922,300.0,32,48,3.47,2.509,2.96,95,1063,0.00,4.73,1.99,0.000,0.000,0.000,-9.41,4.5,10,15.000,15.032,15.000,15.000,0
0.849,off,-7.81,-0.78,-1.56,0.00,14.15,-1,0,0.0,14.36,14.30,-11.40,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,322,358,2,-0.5,13.00,0.82,0.922,300.0,32,48,3.47,2.560,2.96,95,1065,0.00,4.42,1.97,0.000,0.000,0.000,-9.43,4.5,10,15.000,15.032,15.000,15.000,0
0.875,off,-8.59,-0.78,-1.56,0.00,14.14,-1,0,0.0,14.36,14.30,-11.41,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,319,358,2,-0.5,13.00,0.82,0.915,300.0,32,48,3.48,2.596,2.95,95,1074,0.00,4.24,1.97,0.000,0.000,0.000,-9.44,4.4,10,15.000,15.032,15.000,15.000,0
0.905,off,-8.59,-0.78,-1.56,0.00,14.14,-1,0,0.0,14.36,14.30,-11.43,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,312,358,2,-0.5,12.50,0.82,0.915,300.0,32,48,3.48,2.561,2.93,95,1076,0.00,4.24,1.99,0.000,0.000,0.000,-9.44,4.4,10,15.000,15.032,15.000,15.000,0
0.936,off,-8.59,-0.78,-1.56,0.00,14.08,-1,0,0.0,14.36,14.38,-11.43,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,309,358,2,-1.0,13.50,0.83,0.915,300.0,32,48,3.49,2.562,2.93,95,1084,0.00,3.94,1.98,0.000,0.000,0.000,-9.46,4.3,10,15.000,15.032,15.000,15.000,0
1.004,off,-8.59,-0.78,-1.56,0.00,14.07,-1,0,0.0,14.36,14.38,-11.43,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,305,358,2,-1.0,11.50,0.80,0.880,300.0,32,48,3.50,2.548,2.93,95,1096,0.00,3.94,1.97,0.000,0.000,0.000,-9.46,4.3,10,15.000,15.032,15.000,15.000,0
1.029,off,-8.59,-0.78,-1.56,0.00,14.04,-1,0,0.0,14.36,14.38,-11.46,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,308,358,2,-1.0,13.50,0.80,0.880,300.0,32,48,3.47,2.571,2.90,95,1092,0.00,4.24,2.02,0.000,0.000,0.000,-9.44,4.3,10,15.000,15.026,15.000,15.000,0
1.065,off,-9.38,-0.78,-1.56,0.00,14.04,-1,-1,0.0,14.36,14.38,-11.47,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,313,358,2,-1.0,13.50,0.80,0.880,300.0,32,48,3.45,2.576,2.89,95,1086,0.00,3.94,2.01,0.000,0.000,0.000,-9.46,4.3,10,15.000,15.038,15.000,15.000,0
1.080,off,-9.38,-0.78,-1.56,0.00,14.00,-1,-1,0.0,14.36,14.38,-11.47,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,313,358,2,-1.0,13.50,0.79,0.880,300.0,32,48,3.42,2.548,2.89,95,1083,0.00,3.94,2.01,0.000,0.000,0.000,-9.46,4.4,10,15.000,15.045,15.000,15.000,0
1.144,off,-9.38,-0.78,-1.56,0.00,13.98,-1,-1,0.0,14.36,14.30,-11.48,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,308,358,2,-0.5,14.00,0.78,0.867,300.0,32,48,3.39,2.578,2.88,95,1077,0.00,4.55,2.05,0.000,0.000,0.000,-9.42,4.4,10,15.000,15.038,15.000,15.000,0
1.160,off,-9.38,-0.78,-1.56,0.00,13.96,-1,-1,0.0,14.36,14.30,-11.50,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,312,358,2,-0.5,14.50,0.76,0.867,300.0,32,48,3.34,2.520,2.86,95,1059,0.00,4.55,2.07,0.000,0.000,0.000,-9.42,4.5,10,15.000,15.038,15.000,15.000,0
1.196,off,-9.38,-0.78,-1.56,0.00,13.96,-1,-1,0.0,14.36,14.38,-11.50,14.64,0.19,14.47,95,1.000,0,0.00,0.00,0,308,358,2,-0.5,14.00,0.77,0.870,300.0,32,48,3.34,2.580,2.86,95,1055,0.00,4.42,2.07,0.000,0.000,0.000,-9.43,4.5,10,15.000,15.045,15.000,15.000,0
1.225,off,-9.38,-0.78,-1.56,0.00,13.97,-1,-1,0.0,14.36,14.30,-11.47,14.64,0.19,14.47,94,1.000,0,0.00,0.00,0,308,358,2,-0.5,14.00,0.77,0.870,300.0,32,48,3.36,2.636,2.89,95,1061,0.00,4.73,2.06,0.000,0.000,0.000,-9.41,4.6,10,15.000,15.038,15.000,15.000,0
1.255,off,-9.38,-0.78,-1.56,0.00,13.98,-1,-1,0.0,14.36,14.30,-11.47,14.64,0.19,14.47,94,1.000,0,0.00,0.00,0,307,358,2,-0.5,12.50,0.78,0.870,300.0,32,48,3.40,2.622,2.89,95,1073,0.00,4.55,2.04,0.000,0.000,0.000,-9.42,4.4,10,15.000,15.038,15.000,15.000,0
1.286,off,-9.38,-0.78,-1.56,0.00,13.96,-1,0,0.0,14.36,14.38,-11.48,14.64,0.19,14.47,94,1.000,0,0.00,0.00,0,304,358,2,-1.0,12.50,0.79,0.870,300.0,32,48,3.43,2.601,2.88,95,1089,0.00,4.55,2.05,0.000,0.000,0.000,-9.42,4.4,10,15.000,15.045,15.000,15.000,0
1.311,off,-9.38,-0.78,-1.56,0.00,13.98,-1,0,0.0,14.36,14.38,-11.47,14.64,0.19,14.47,94,1.000,0,0.00,0.00,0,308,358,2,-1.0,12.50,0.79,0.864,300.0,32,48,3.45,2.527,2.89,95,1101,0.00,4.24,2.03,0.000,0.000,0.000,-9.44,4.4,9,15.000,15.038,15.000,15.000,0
1.334,off,-9.38,-0.78,-1.56,0.00,13.99,-1,0,0.0,14.36,14.30,-11.46,14.64,0.19,14.47,94,1.000,0,0.00,0.00,0,303,358,2,-1.0,13.00,0.79,0.864,300.0,32,48,3.42,2.556,2.90,95,1091,0.00,3.94,2.00,0.000,0.000,0.000,-9.46,4.4,9,15.000,15.045,15.000,15.000,0
1.375,off,-9.38,-0.78,-1.56,0.00,13.99,-1,0,0.0,14.36,14.30,-11.48,14.64,0.19,14.47,94,1.000,0,0.00,0.00,0,304,358,2,-1.0,14.00,0.78,0.864,300.0,32,48,3.40,2.580,2.88,95,1087,0.00,3.94,2.00,0.000,0.000,0.000,-9.46,4.4,9,15.000,15.038,15.000,15.000,0
1.408,off,-9.38,-0.78,-1.56,0.00,14.02,-1,0,0.0,14.36,14.22,-11.50,14.64,0.19,14.47,94,1.000,0,0.00,0.00,0,308,358,2,-0.5,13.50,0.77,0.864,300.0,32,49,3.34,2.524,2.86,95,1071,0.00,4.85,2.10,0.000,0.000,0.000,-9.40,4.4,9,15.000,15.038,15.000,15.000,0
1.434,off,-9.38,-0.78,-1.56,0.00,14.05,-1,0,0.0,14.36,14.30,-11.50,14.64,0.19,14.47,94,1.000,0,0.00,0.00,0,301,358,2,-0.5,14.50,0.76,0.864,300.0,32,49,3.31,2.603,2.86,95,1056,0.00,4.85,2.10,0.000,0.000,0.000,-9.40,4.5,9,15.000,15.038,15.000,15.000,0
1.460,off,-9.38,-0.78,-1.56,0.00,14.05,-1,0,0.0,14.36,14.38,-11.48,14.64,0.19,14.47,94,1.000,0,0.00,0.00,0,311,358,2,-0.5,14.50,0.75,0.864,300.0,32,49,3.28,2.590,2.88,95,1045,0.00,4.73,2.07,0.000,0.000,0.000,-9.41,4.5,9,15.000,15.038,15.000,15.000,0
1.476,off,-9.38,-0.78,-1.56,0.00,14.04,-1,0,0.0,14.36,14.38,-11.46,14.64,0.19,14.31,94,1.000,0,0.00,0.00,0,303,358,2,0.0,16.00,0.75,0.864,300.0,32,49,3.27,2.541,2.90,95,1036,0.00,4.73,2.05,0.000,0.000,0.000,-9.41,4.6,9,15.000,15.038,15.000,15.000,0
1.525,off,-9.38,-0.78,-1.56,0.00,14.08,-1,0,0.0,14.36,14.30,-11.46,14.64,0.19,14.31,94,1.000,0,0.00,0.00,0,307,358,2,0.0,16.00,0.74,0.864,300.0,32,49,3.26,2.592,2.90,95,1029,0.00,4.73,2.05,0.000,0.000,0.000,-9.41,4.6,9,15.000,15.045,15.000,15.000,0
1.548,off,-9.38,-0.78,-1.56,0.00,14.07,-1,0,0.0,14.36,14.38,-11.46,14.64,0.19,14.31,94,1.000,0,0.00,0.00,0,303,358,2,0.0,16.00,0.76,0.883,300.0,32,49,3.26,2.630,2.90,95,1027,0.00,4.59,2.04,0.000,0.000,0.000,-9.42,4.6,9,15.000,15.051,15.000,15.000,0
1.578,off,-9.38,-0.78,-1.56,0.00,14.11,-1,0,0.0,14.36,14.22,-11.44,14.64,0.19,14.31,94,1.000,0,0.00,0.00,0,297,358,2,0.0,14.50,0.75,0.883,300.0,32,49,3.25,2.589,2.92,95,1012,0.00,4.89,2.04,0.000,0.000,0.000,-9.40,4.6,9,15.000,15.045,15.000,15.000,0
1.605,off,-9.38,-0.78,-1.56,0.00,14.13,-1,0,0.0,14.36,14.38,-11.44,14.64,0.19,14.31,94,1.000,0,0.00,0.00,0,299,358,2,0.0,14.50,0.74,0.883,300.0,32,49,3.25,2.619,2.92,95,1008,0.00,4.89,2.04,0.000,0.000,0.000,-9.40,4.6,9,15.000,15.045,15.000,15.000,0
1.632,off,-8.59,-0.78,-1.56,0.00,14.15,0,0,0.0,14.36,14.22,-11.43,14.64,0.19,14.31,94,1.000,0,0.00,0.00,0,298,358,2,0.0,15.00,0.73,0.883,300.0,32,49,3.24,2.586,2.93,95,998,0.00,5.19,2.05,0.000,0.000,0.000,-9.38,4.7,9,15.000,15.051,15.000,15.000,0
1.681,off,-8.59,-0.78,-1.56,0.00,14.20,-1,0,0.0,14.36,14.38,-11.39,14.64,0.19,14.25,94,1.000,0,0.00,0.00,0,296,358,2,0.0,13.50,0.78,0.950,300.0,32,49,3.26,2.631,2.97,95,988,0.00,4.89,1.99,0.000,0.000,0.000,-9.40,4.7,9,15.000,15.051,15.000,15.000,0
1.699,off,-8.59,-0.78,-1.56,0.00,14.23,-1,0,0.0,14.36,14.30,-11.39,14.64,0.19,14.25,94,1.000,0,0.00,0.00,0,306,358,2,0.0,13.50,0.78,0.950,300.0,32,49,3.26,2.614,2.97,95,986,0.00,4.89,1.99,0.000,0.000,0.000,-9.40,4.7,9,15.000,15.051,15.000,15.000,0
1.726,off,-8.59,-0.78,-1.56,0.00,14.22,-1,0,0.0,14.36,14.30,-11.36,14.64,0.19,14.25,94,1.000,0,0.00,0.00,0,299,358,2,0.0,13.50,0.78,0.950,300.0,32,49,3.28,2.646,3.00,95,981,0.00,4.75,1.95,0.000,0.000,0.000,-9.40,4.7,9,15.000,15.045,15.000,15.000,0
1.747,off,-8.59,-0.78,-1.56,0.00,14.22,-1,0,0.0,14.36,14.30,-11.33,14.64,0.20,14.25,94,1.000,0,0.00,0.00,0,296,358,2,0.0,13.50,0.77,0.950,300.0,32,49,3.28,2.577,3.03,95,978,0.00,4.75,1.92,0.000,0.000,0.000,-9.40,4.7,9,15.000,15.038,15.000,15.000,0
1.806,off,-8.59,-0.78,-1.56,0.00,14.24,-1,0,0.0,14.36,14.38,-11.31,14.64,0.20,14.42,94,1.000,0,0.00,0.00,0,301,358,2,0.0,13.50,0.77,0.950,300.0,32,49,3.30,2.637,3.05,95,977,0.00,4.75,1.92,0.000,0.000,0.000,-9.40,4.7,9,15.000,15.038,15.000,15.000,0
1.826,off,-8.59,-0.78,-1.56,0.00,14.26,-1,0,0.0,14.36,14.38,-11.31,14.64,0.20,14.42,94,1.000,0,0.00,0.00,0,298,358,2,0.0,13.50,0.82,1.014,300.0,32,49,3.30,2.638,3.05,95,971,0.00,4.75,1.90,0.000,0.000,0.000,-9.40,4.7,9,15.000,15.051,15.000,15.000,0
1.832,off,-8.59,-0.78,-1.56,0.00,14.29,-1,0,0.0,14.36,14.30,-11.29,14.64,0.20,14.42,94,1.000,0,0.00,0.00,0,303,358,2,0.0,13.00,0.82,1.014,300.0,32,49,3.31,2.609,3.07,95,970,0.00,4.75,1.89,0.000,0.000,0.000,-9.40,4.7,9,15.000,15.057,15.000,15.000,0
1.851,off,-8.59,-0.78,-1.56,0.00,14.29,-1,0,0.0,14.36,14.22,-11.28,14.64,0.20,14.42,94,1.000,0,0.00,0.00,0,291,358,2,0.0,13.00,0.82,1.014,300.0,32,49,3.32,2.640,3.08,95,969,0.00,4.75,1.89,0.000,0.000,0.000,-9.40,4.7,9,15.000,15.051,15.000,15.000,0
1.898,off,-8.59,-0.78,-1.56,0.00,14.32,-1,0,0.0,14.36,14.38,-11.26,14.64,0.20,14.42,94,1.000,0,0.00,0.00,0,297,358,2,0.0,12.50,0.81,1.014,300.0,32,49,3.33,2.657,3.10,95,964,0.00,4.75,1.87,0.000,0.000,0.000,-9.40,4.7,9,15.000,15.051,15.000,15.000,0
1.936,off,-7.81,-0.78,-1.56,0.00,14.36,-1,0,0.0,14.36,14.30,-11.26,14.64,0.20,14.42,95,1.000,0,0.00,0.00,0,299,358,2,0.0,12.50,0.81,1.014,300.0,32,49,3.34,2.620,3.10,95,957,0.00,5.05,1.87,0.000,0.000,0.000,-9.39,4.7,9,15.000,15.057,15.000,15.000,0
1.942,off,-7.81,-0.78,-1.56,0.00,14.38,-1,0,0.0,14.36,14.22,-11.26,14.64,0.20,14.42,95,1.000,0,0.00,0.00,0,303,358,2,0.0,12.50,0.83,1.046,300.0,32,49,3.34,2.642,3.10,95,955,0.00,5.05,1.87,0.000,0.000,0.000,-9.39,4.7,9,15.000,15.057,15.000,15.000,0
1.959,off,-7.81,-0.78,-1.56,0.00,14.40,-1,0,0.0,14.36,14.22,-11.25,14.64,0.20,14.42,95,1.000,0,0.00,0.00,0,298,358,2,0.0,12.00,0.83,1.046,300.0,32,49,3.35,2.600,3.11,95,954,0.00,5.05,1.86,0.000,0.000,0.000,-9.39,4.7,9,15.000,15.057,15.000,15.000,0
1.991,off,-7.81,-0.78,-1.56,0.00,14.37,-1,0,0.0,14.36,14.30,-11.25,14.64,0.20,14.42,95,1.000,0,0.00,0.00,0,302,358,2,0.0,12.00,0.83,1.046,300.0,32,49,3.36,2.661,3.11,95,953,0.00,4.91,1.85,0.000,0.000,0.000,-9.39,4.7,9,15.000,15.057,15.000,15.000,0
2.024,off,-7.81,-0.78,-1.56,0.00,14.40,0,0,0.0,14.36,14.30,-11.19,14.64,0.20,14.36,95,1.000,0,0.00,0.00,0,297,358,2,0.0,12.00,0.83,1.046,300.0,32,49,3.37,2.633,3.16,95,948,0.00,4.91,1.80,0.000,0.000,0.000,-9.39,4.7,9,15.000,15.057,15.000,15.000,0
